Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p20stt09.csv,,,,,,,,,,,,
"Table 9. Releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2019 and 2020",,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 9. Releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2019 and 2020",,,,,,,,,,,,
Jurisdiction,,2019 total,2020 total,"Change, 2019–2020","Percent change, 2019–2020",,2019 unconditional/a,2020 unconditional/a,2019 conditional/b,2020 conditional/b,2019 deaths/c,2020 deaths/c
,U.S. total/d,"608,026","549,622","-58,404",-9.6,%,"154,876","140,450","433,683","391,019","4,182","6,112"
Federal/e,,"50,717","46,899","-3,818",-7.5,%,"47,223","43,516",261,253,366,526
State/d,,"557,309","502,723","-54,586",-9.8,%,"107,653","96,934","433,422","390,766","3,816","5,586"
,Alabama/f,"12,251","11,178","-1,073",-8.8,,"3,222","3,356","7,255","5,126",145,211
,Alaska/g,"1,717","1,626",-91,-5.3,,685,472,"1,029","1,149",3,5
,Arizona,"13,034","13,938",904,6.9,,"1,917","2,081","11,006","11,692",111,163
,Arkansas,"9,768","9,760",-8,-0.1,,763,717,"8,923","8,917",82,126
,California,"37,863","39,673","1,810",4.8,,136,135,"37,176","38,961",402,505
,Colorado,"9,891","9,568",-323,-3.3,,"1,246","1,037","8,510","8,355",51,74
,Connecticut/g,"4,371","4,387",16,0.4,,"2,070","2,031","2,287","2,251",7,6
,"Delaware/g,h","2,076","1,738",-338,-16.3,,175,127,"1,801","1,523",8,20
,Florida,"30,140","28,720","-1,420",-4.7,,"18,360","17,640","11,365","10,478",403,592
,Georgia,"15,876","16,460",584,3.7,,"8,197","7,872","7,524","8,315",155,273
,Hawaii/g,"1,623","1,126",-497,-30.6,,366,314,680,797,13,14
,Idaho,"4,443","4,001",-442,-9.9,,429,569,"3,958","3,007",27,36
,Illinois/i,"23,834","20,589","-3,245",-13.6,,"3,807","2,942","19,765","17,471",102,171
,Indiana,"11,045","9,893","-1,152",-10.4,,"1,248","1,165","9,700","8,588",97,140
,Iowa,"6,266","4,767","-1,499",-23.9,,"1,276","1,015","4,445","3,709",21,35
,Kansas,"6,018","4,693","-1,325",-22,,"1,255",422,"4,728","4,232",35,39
,Kentucky,"19,545","16,531","-3,014",-15.4,,"5,116","4,475","14,078","11,768",67,98
