"State","Date","Sex.Group","Age.Group","Number","Percent","Source"
"Texas",2016-10-01,"Female","0-20",104,NA,"UCLA Records"
"Texas",2016-10-01,"Female","21-24",762,NA,"UCLA Records"
"Texas",2016-10-01,"Female","25-29",2071,NA,"UCLA Records"
"Texas",2016-10-01,"Female","30-34",2400,NA,"UCLA Records"
"Texas",2016-10-01,"Female","35-39",2230,NA,"UCLA Records"
"Texas",2016-10-01,"Female","40-44",1508,NA,"UCLA Records"
"Texas",2016-10-01,"Female","45-49",1318,NA,"UCLA Records"
"Texas",2016-10-01,"Female","50-54",991,NA,"UCLA Records"
"Texas",2016-10-01,"Female","55-59",617,NA,"UCLA Records"
"Texas",2016-10-01,"Female","60-64",261,NA,"UCLA Records"
"Texas",2016-10-01,"Female","65+",163,NA,"UCLA Records"
"Texas",2016-10-01,"Male","0-20",1299,NA,"UCLA Records"
"Texas",2016-10-01,"Male","21-24",9874,NA,"UCLA Records"
"Texas",2016-10-01,"Male","25-29",20144,NA,"UCLA Records"
"Texas",2016-10-01,"Male","30-34",20863,NA,"UCLA Records"
"Texas",2016-10-01,"Male","35-39",20630,NA,"UCLA Records"
"Texas",2016-10-01,"Male","40-44",15973,NA,"UCLA Records"
"Texas",2016-10-01,"Male","45-49",14181,NA,"UCLA Records"
"Texas",2016-10-01,"Male","50-54",12428,NA,"UCLA Records"
"Texas",2016-10-01,"Male","55-59",9645,NA,"UCLA Records"
"Texas",2016-10-01,"Male","60-64",5243,NA,"UCLA Records"
"Texas",2016-10-01,"Male","65+",4185,NA,"UCLA Records"
"Texas",2016-11-01,"Female","0-20",108,NA,"UCLA Records"
"Texas",2016-11-01,"Female","21-24",749,NA,"UCLA Records"
"Texas",2016-11-01,"Female","25-29",2077,NA,"UCLA Records"
"Texas",2016-11-01,"Female","30-34",2428,NA,"UCLA Records"
"Texas",2016-11-01,"Female","35-39",2258,NA,"UCLA Records"
"Texas",2016-11-01,"Female","40-44",1505,NA,"UCLA Records"
"Texas",2016-11-01,"Female","45-49",1332,NA,"UCLA Records"
"Texas",2016-11-01,"Female","50-54",1000,NA,"UCLA Records"
"Texas",2016-11-01,"Female","55-59",635,NA,"UCLA Records"
"Texas",2016-11-01,"Female","60-64",262,NA,"UCLA Records"
"Texas",2016-11-01,"Female","65+",163,NA,"UCLA Records"
"Texas",2016-11-01,"Male","0-20",1322,NA,"UCLA Records"
"Texas",2016-11-01,"Male","21-24",9884,NA,"UCLA Records"
"Texas",2016-11-01,"Male","25-29",20170,NA,"UCLA Records"
"Texas",2016-11-01,"Male","30-34",20949,NA,"UCLA Records"
"Texas",2016-11-01,"Male","35-39",20676,NA,"UCLA Records"
"Texas",2016-11-01,"Male","40-44",16056,NA,"UCLA Records"
"Texas",2016-11-01,"Male","45-49",14192,NA,"UCLA Records"
"Texas",2016-11-01,"Male","50-54",12500,NA,"UCLA Records"
"Texas",2016-11-01,"Male","55-59",9652,NA,"UCLA Records"
"Texas",2016-11-01,"Male","60-64",5312,NA,"UCLA Records"
"Texas",2016-11-01,"Male","65+",4205,NA,"UCLA Records"
"Texas",2017-07-01,"Female","0-20",106,NA,"UCLA Records"
